mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nu,param_gamma,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
0.0011343691084120008,3.002674468955186e-05,0.0017177793714735243,3.79456806191536e-05,0.2571571428571428,568.9866029018293,0.22580645161290322,,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.0,58.0,0.8541666666666666,,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.0,58,785873,0,0.22580645161290322,0.8541666666666666
0.0006278355916341146,1.1173782330081893e-05,0.0012011263105604383,8.947983664634136e-06,0.1102673469387755,0.004094915062380427,0.1724137931034483,,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.0,50.0,0.8958333333333334,,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.0,50,785873,0,0.1724137931034483,0.8958333333333334
0.0006687376234266493,1.8677117762313265e-05,0.0012112723456488715,0.00013107776127769085,0.042942857142857144,0.868511373751352,0.08333333333333368,,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.0776353276353277,0.00201454923414981,18.0,0.9166666666666666,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9537037037037037,0.013094570021973126,18,785873,0,0.07692307692307694,0.9583333333333334
0.0006757047441270617,2.6586360786927693e-05,0.00121813350253635,0.00013247111537485965,0.042942857142857144,2.6826957952797246,0.0800000000000006,,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07726495726495736,0.0009669836323920422,9.0,0.9375,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9560185185185186,0.006547285010986563,9,785873,0,0.07692307692307694,0.9583333333333334
0.0007468329535590278,2.881942997914357e-05,0.0012203587426079644,2.5027039777668893e-05,0.1041469387755102,8.286427728546842,0.07692307692307694,,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.0,1.0,0.9583333333333334,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,785873,0,0.07692307692307694,0.9583333333333334
0.0008810626135932074,1.626190702078152e-05,0.0013771322038438586,2.279290606614341e-05,0.18371224489795915,0.28117686979742307,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0009426275889078776,3.698930196839068e-05,0.0014271471235487196,2.622542824756211e-05,0.19595306122448977,59.636233165946365,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0010116100311279297,3.290598684045356e-05,0.001501268810696072,3.4876142297737215e-05,0.2449163265306122,10.985411419875572,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,43.0,0.9166666666666666,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,43,785873,0,0.14285714285714285,0.9166666666666666
0.0008021990458170573,1.5620410285658437e-05,0.0012986924913194445,1.706741211049062e-05,0.16535102040816324,0.09102981779915217,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0011860794491238063,2.799516008935638e-05,0.0018841160668267144,3.40121763007447e-05,0.28775918367346937,754.3120063354608,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,65.0,0.8333333333333334,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,65,785873,0,0.25,0.8333333333333334
